slug,source_file,gallery_1600,gallery_800,hero_1600x900,square_800,thumb_400,tags,alt_text,recommended_usage
david-installation-01,20250719_122526.jpg,photos/gallery/david-installation-01-1600.webp,photos/gallery/david-installation-01-800.webp,photos/hero/david-installation-01-1600x900.webp,photos/square/david-installation-01-800.webp,photos/thumb/david-installation-01-400.webp,"home, about, gallery",Electrician working on a wall installation in a UK home,"Home hero, About page, Reviews/Trust section"
david-on-site-01,20250709_161601.jpg,photos/gallery/david-on-site-01-1600.webp,photos/gallery/david-on-site-01-800.webp,photos/hero/david-on-site-01-1600x900.webp,photos/square/david-on-site-01-800.webp,photos/thumb/david-on-site-01-400.webp,"about, gallery",Electrician on site working in a narrow outdoor access area,"About page (work in progress), Gallery"
david-on-site-02,20250709_161549.jpg,photos/gallery/david-on-site-02-1600.webp,photos/gallery/david-on-site-02-800.webp,photos/hero/david-on-site-02-1600x900.webp,photos/square/david-on-site-02-800.webp,photos/thumb/david-on-site-02-400.webp,gallery,Electrician on site working on exterior cabling and hardware,"Home/Services secondary hero, Gallery"
heater-install-01,20250719_131301.jpg,photos/gallery/heater-install-01-1600.webp,photos/gallery/heater-install-01-800.webp,photos/hero/heater-install-01-1600x900.webp,photos/square/heater-install-01-800.webp,photos/thumb/heater-install-01-400.webp,"service, gallery",Wall-mounted heater installed and tested,"Services: heating / fixed-installations, Gallery"
testing-kit-01,20250719_154119.jpg,photos/gallery/testing-kit-01-1600.webp,photos/gallery/testing-kit-01-800.webp,photos/hero/testing-kit-01-1600x900.webp,photos/square/testing-kit-01-800.webp,photos/thumb/testing-kit-01-400.webp,"service, gallery",Insulation resistance tester and test leads in a carry case,"Trust: tested & tidy, Fault-finding/EICR page"
consumer-unit-01,20250809_090823.jpg,photos/gallery/consumer-unit-01-1600.webp,photos/gallery/consumer-unit-01-800.webp,photos/hero/consumer-unit-01-1600x900.webp,photos/square/consumer-unit-01-800.webp,photos/thumb/consumer-unit-01-400.webp,"service, gallery",UK consumer unit (fuse board) with labelled circuits,"Consumer unit replacement page hero, Gallery"
outdoor-light-01,20260130_154535.jpg,photos/gallery/outdoor-light-01-1600.webp,photos/gallery/outdoor-light-01-800.webp,photos/hero/outdoor-light-01-1600x900.webp,photos/square/outdoor-light-01-800.webp,photos/thumb/outdoor-light-01-400.webp,"service, gallery",Outdoor LED security floodlight installation on brick wall,"Outdoor lighting page hero, Gallery"
siemens-logo-01,20241005_155218.jpg,photos/gallery/siemens-logo-01-1600.webp,photos/gallery/siemens-logo-01-800.webp,photos/hero/siemens-logo-01-1600x900.webp,photos/square/siemens-logo-01-800.webp,photos/thumb/siemens-logo-01-400.webp,"automation, gallery",Siemens LOGO! controller with connected wiring,"Automation page hero, Gallery"
control-panel-01,20240804_113647.jpg,photos/gallery/control-panel-01-1600.webp,photos/gallery/control-panel-01-800.webp,photos/hero/control-panel-01-1600x900.webp,photos/square/control-panel-01-800.webp,photos/thumb/control-panel-01-400.webp,"automation, gallery",Electrical control panel with relays and neatly routed cables,"Automation page body image, Gallery"
led-controller-01,20251108_000426.jpg,photos/gallery/led-controller-01-1600.webp,photos/gallery/led-controller-01-800.webp,photos/hero/led-controller-01-1600x900.webp,photos/square/led-controller-01-800.webp,photos/thumb/led-controller-01-400.webp,"smart-home, gallery",LED lighting controller module and cabling,"Smart home page body image, Gallery"
